Part Type,ID,Operation,Date,Status
D,6114,Op1,09/14/2025 11:51 PM,Good
C,1800,Op1,03/25/2025 07:50 PM,Review
B,4137,Op1,11/01/2025 05:52 AM,Scrap
C,8696,Op4,09/13/2025 03:49 PM,Good
C,5042,Op4,07/25/2025 11:07 PM,Review
B,1087,Op3,09/14/2025 01:20 PM,Good
D,6176,Op1,11/28/2025 03:03 AM,Scrap
D,2785,Op3,02/16/2025 10:34 PM,Review
C,2071,Op3,03/01/2025 02:37 PM,Review
C,9286,Op1,08/05/2025 01:48 AM,Scrap
A,1059,Op4,03/20/2025 02:45 PM,Good
C,6435,Op1,12/21/2025 07:41 PM,Good
B,6580,Op3,10/03/2025 06:42 PM,Scrap
C,3848,Op1,09/08/2025 04:23 AM,Scrap
D,1675,Op1,12/24/2025 02:35 AM,Good
D,9113,Op4,01/26/2025 11:55 AM,Good
A,8595,Op3,01/16/2025 04:52 AM,Good
A,9763,Op4,09/09/2025 04:22 AM,Scrap
D,9635,Op4,01/01/2026 08:30 PM,Good
B,8589,Op1,03/17/2025 12:41 PM,Scrap
C,2243,Op4,04/29/2025 05:00 PM,Scrap
C,6008,Op3,07/12/2025 10:41 AM,Review
B,8984,Op3,11/10/2025 04:20 PM,Review
D,2059,Op3,11/06/2025 03:58 PM,Review
B,6703,Op3,12/19/2025 06:29 PM,Scrap
B,9896,Op2,03/10/2025 06:30 AM,Review
D,7623,Op4,09/22/2025 02:23 AM,Good
A,1871,Op3,11/19/2025 05:14 PM,Good
A,3859,Op1,12/06/2025 10:30 AM,Scrap
C,5394,Op1,08/09/2025 02:45 AM,Good
A,6147,Op4,10/19/2025 06:06 PM,Scrap
B,8707,Op2,01/09/2026 02:22 PM,Good
C,3037,Op1,02/03/2025 08:08 AM,Review
B,4381,Op1,12/25/2025 10:19 AM,Good
C,2015,Op2,10/11/2025 02:57 AM,Good
C,4319,Op2,08/09/2025 07:27 AM,Scrap
C,6412,Op3,02/22/2025 05:14 PM,Scrap
C,8449,Op4,04/06/2025 04:49 AM,Review
C,5904,Op3,06/19/2025 10:04 AM,Good
D,6057,Op2,07/29/2025 04:15 AM,Scrap
B,1790,Op4,08/05/2025 01:48 PM,Scrap
D,1965,Op3,04/03/2025 04:12 PM,Good
D,6687,Op3,04/25/2025 07:19 PM,Scrap
A,9380,Op3,09/19/2025 09:39 PM,Review
A,9966,Op1,09/14/2025 06:10 PM,Scrap
A,8466,Op4,02/12/2025 01:49 AM,Good
C,7312,Op4,02/26/2025 11:00 AM,Good
C,6143,Op3,09/04/2025 02:18 AM,Scrap
A,1560,Op4,02/17/2025 04:24 PM,Good
C,9127,Op4,02/28/2025 04:03 PM,Review
A,6790,Op1,06/28/2025 03:56 PM,Scrap
C,3731,Op1,07/24/2025 06:12 PM,Good
C,3884,Op3,02/11/2025 01:47 PM,Good
D,2789,Op4,01/12/2026 08:37 PM,Good
A,5274,Op4,10/06/2025 02:26 AM,Scrap
B,5337,Op1,02/02/2025 01:38 AM,Review
C,5546,Op2,09/04/2025 08:24 AM,Scrap
C,2128,Op3,02/06/2025 02:21 AM,Good
A,9530,Op4,06/06/2025 03:01 AM,Review
B,1678,Op2,03/13/2025 06:28 AM,Review
B,5125,Op2,12/26/2025 03:01 AM,Review
C,9384,Op3,06/29/2025 12:40 PM,Good
A,4416,Op4,01/20/2025 04:25 PM,Review
A,5940,Op1,10/22/2025 04:31 PM,Good
B,9581,Op1,10/14/2025 02:30 PM,Review
A,1333,Op2,02/27/2025 11:56 PM,Scrap
B,9103,Op1,10/11/2025 08:30 PM,Scrap
A,5381,Op1,06/02/2025 03:45 PM,Scrap
D,8204,Op2,06/11/2025 10:05 AM,Good
A,7520,Op2,10/12/2025 01:10 PM,Good
D,9142,Op2,07/25/2025 07:31 PM,Good
D,4869,Op2,01/09/2026 04:52 AM,Good
B,1802,Op4,02/12/2025 08:29 PM,Review
A,4348,Op4,09/04/2025 05:48 AM,Scrap
B,6108,Op1,08/21/2025 08:39 PM,Scrap
D,1825,Op2,09/01/2025 12:23 PM,Review
B,5593,Op4,03/16/2025 09:39 PM,Scrap
B,6206,Op3,06/21/2025 09:34 PM,Good
D,9542,Op4,12/28/2025 01:10 PM,Review
B,7672,Op2,12/27/2025 12:31 PM,Review
A,6324,Op2,09/10/2025 08:06 AM,Scrap
C,4644,Op2,06/13/2025 06:00 AM,Good
D,4136,Op4,01/24/2025 05:59 AM,Good
B,9632,Op3,03/24/2025 11:55 PM,Review
A,9289,Op4,12/12/2025 07:47 PM,Good
C,1995,Op4,10/27/2025 04:12 PM,Review
D,9992,Op1,02/15/2025 10:41 AM,Good
D,5872,Op2,05/16/2025 10:53 AM,Review
B,5752,Op3,06/27/2025 12:36 PM,Good
D,5473,Op1,06/13/2025 02:09 PM,Scrap
B,4072,Op3,02/18/2025 04:14 AM,Scrap
D,6833,Op2,05/04/2025 10:55 AM,Good
B,6620,Op2,02/25/2025 03:14 PM,Scrap
D,9606,Op3,02/13/2025 05:32 PM,Scrap
B,5051,Op1,12/24/2025 04:39 PM,Review
C,5907,Op4,07/23/2025 11:01 AM,Review
D,8896,Op2,06/19/2025 03:13 AM,Review
D,5564,Op1,07/10/2025 02:51 AM,Review
A,8493,Op2,10/08/2025 03:58 AM,Review
A,6534,Op3,05/15/2025 12:24 PM,Scrap
C,9669,Op3,07/16/2025 03:37 PM,Scrap
C,4689,Op3,02/13/2025 04:56 AM,Good
A,5699,Op4,12/24/2025 11:26 PM,Review
B,9362,Op3,08/02/2025 05:37 AM,Scrap
B,5836,Op4,10/05/2025 02:45 AM,Review
A,4403,Op4,06/15/2025 11:26 PM,Good
A,8375,Op1,10/31/2025 05:11 PM,Review
D,2610,Op2,01/27/2025 05:18 PM,Scrap
B,3777,Op2,02/11/2025 12:54 PM,Scrap
B,4803,Op2,09/02/2025 10:14 AM,Review
A,3601,Op4,08/06/2025 04:33 AM,Scrap
D,9590,Op4,11/16/2025 03:50 PM,Good
C,4690,Op1,12/10/2025 06:11 PM,Review
A,1156,Op4,07/14/2025 05:09 PM,Scrap
B,3470,Op1,12/08/2025 02:46 PM,Good
C,9443,Op3,12/18/2025 01:11 AM,Good
B,1496,Op2,10/23/2025 10:38 PM,Review
B,1402,Op2,12/09/2025 11:11 AM,Review
D,4773,Op3,07/02/2025 12:36 AM,Good
D,2552,Op1,11/21/2025 03:52 AM,Good
C,7368,Op3,11/15/2025 08:18 AM,Good
D,4496,Op4,04/15/2025 04:12 PM,Scrap
C,9104,Op4,08/23/2025 03:12 PM,Scrap
A,5245,Op4,06/12/2025 11:51 PM,Scrap
B,2233,Op1,06/28/2025 07:37 PM,Review
B,7283,Op2,10/27/2025 07:11 PM,Good
A,2454,Op2,12/08/2025 09:01 AM,Review
A,1703,Op2,10/03/2025 02:56 PM,Review
D,4919,Op3,10/16/2025 09:35 PM,Review
B,9640,Op2,07/15/2025 01:21 AM,Review
B,7833,Op3,07/10/2025 10:59 PM,Review
D,1432,Op4,05/02/2025 01:09 PM,Review
B,7263,Op2,12/22/2025 08:47 AM,Review
A,1858,Op1,10/31/2025 01:29 AM,Scrap
D,9186,Op3,10/03/2025 02:29 AM,Scrap
D,1593,Op4,08/05/2025 08:38 PM,Scrap
C,7255,Op1,12/21/2025 05:43 AM,Good
A,3134,Op1,05/21/2025 09:14 AM,Good
D,9610,Op3,02/18/2025 01:36 PM,Scrap
D,2365,Op2,06/29/2025 06:57 AM,Review
C,8659,Op1,05/23/2025 04:01 AM,Scrap
A,2675,Op3,12/31/2025 09:52 AM,Review
A,8926,Op2,10/16/2025 11:06 PM,Review
D,3681,Op1,12/08/2025 03:08 PM,Good
D,4145,Op4,07/26/2025 11:31 AM,Good
A,3259,Op3,01/10/2026 02:46 AM,Scrap
B,8223,Op1,07/15/2025 06:04 PM,Review
B,8782,Op1,05/01/2025 05:53 AM,Review
D,7985,Op2,03/09/2025 04:07 PM,Review
A,9573,Op1,03/01/2025 09:43 AM,Scrap
D,9615,Op4,03/22/2025 06:08 PM,Good
C,7192,Op3,03/08/2025 02:44 AM,Scrap
D,7818,Op3,11/02/2025 10:16 PM,Review
B,4958,Op3,05/23/2025 08:25 AM,Good
C,4462,Op2,04/19/2025 08:59 PM,Review
D,4901,Op3,01/25/2025 07:08 PM,Review
D,6271,Op2,08/16/2025 05:07 AM,Review
B,4505,Op2,03/11/2025 02:40 PM,Scrap
A,5793,Op4,06/19/2025 06:07 PM,Review
C,2263,Op3,06/21/2025 10:45 PM,Scrap
A,9515,Op4,08/29/2025 04:02 PM,Scrap
C,7930,Op4,12/03/2025 02:19 AM,Good
C,6332,Op2,10/20/2025 02:57 PM,Good
C,5758,Op2,10/26/2025 07:56 PM,Scrap
C,2142,Op3,10/17/2025 01:58 AM,Good
C,7686,Op1,11/02/2025 03:42 PM,Good
C,3257,Op1,11/13/2025 03:08 AM,Scrap
C,2694,Op1,07/29/2025 11:23 PM,Review
B,7474,Op1,11/24/2025 12:00 PM,Review
C,3238,Op1,01/01/2026 06:51 AM,Scrap
C,7272,Op4,10/18/2025 07:13 AM,Good
A,6654,Op3,11/22/2025 02:42 AM,Good
D,9082,Op3,08/18/2025 03:38 PM,Review
D,6037,Op4,08/29/2025 10:51 PM,Review
A,8372,Op3,09/08/2025 09:26 PM,Good
A,6586,Op3,02/28/2025 11:11 PM,Review
B,9241,Op1,08/04/2025 03:19 AM,Good
D,5384,Op4,08/06/2025 09:43 AM,Good
A,2467,Op4,12/19/2025 07:18 AM,Review
D,8432,Op2,08/25/2025 10:50 AM,Review
B,1824,Op3,05/20/2025 10:02 PM,Review
B,2879,Op3,06/02/2025 04:31 AM,Good
B,4155,Op1,06/28/2025 09:30 PM,Good
B,3386,Op3,08/25/2025 11:33 AM,Review
C,4548,Op1,08/04/2025 12:26 PM,Scrap
C,9358,Op3,03/07/2025 12:24 PM,Review
D,4602,Op2,09/05/2025 07:14 PM,Scrap
D,3295,Op3,09/02/2025 11:51 PM,Review
D,9781,Op1,03/15/2025 01:36 PM,Scrap
A,2168,Op1,10/06/2025 04:05 AM,Good
B,6665,Op4,05/21/2025 02:00 PM,Scrap
C,2963,Op3,01/23/2025 07:14 PM,Review
B,9273,Op1,08/23/2025 05:39 AM,Review
A,4622,Op2,12/13/2025 01:10 AM,Scrap
A,1852,Op2,11/16/2025 01:56 AM,Review
A,6457,Op1,08/15/2025 07:09 PM,Good
D,9762,Op3,03/04/2025 12:53 PM,Good
B,5128,Op2,11/15/2025 11:53 AM,Good
C,6624,Op2,12/12/2025 07:59 PM,Good
B,8576,Op4,09/21/2025 06:47 PM,Good
C,3886,Op3,08/25/2025 10:35 AM,Review
A,5661,Op3,09/29/2025 08:58 AM,Review
B,4275,Op4,09/06/2025 03:41 PM,Good
A,9787,Op4,04/24/2025 02:18 PM,Review
B,9344,Op4,01/22/2025 11:18 AM,Review
A,1399,Op2,08/27/2025 01:04 AM,Good
C,3135,Op4,02/19/2025 04:36 PM,Good
C,9863,Op1,12/13/2025 02:26 PM,Scrap
C,2295,Op3,11/06/2025 12:26 PM,Scrap
D,5862,Op1,04/19/2025 08:59 PM,Good
D,3188,Op4,08/03/2025 09:33 PM,Review
B,6026,Op3,06/29/2025 01:43 AM,Scrap
A,6787,Op1,03/19/2025 01:10 AM,Good
B,7457,Op4,10/06/2025 01:23 PM,Good
B,2489,Op1,02/13/2025 03:47 PM,Good
D,9692,Op1,11/16/2025 04:32 AM,Scrap
B,6877,Op2,01/18/2025 10:13 PM,Scrap
A,4835,Op4,06/09/2025 05:39 AM,Scrap
D,8244,Op3,12/23/2025 04:01 PM,Scrap
C,6991,Op1,03/05/2025 01:23 AM,Review
B,1868,Op3,05/03/2025 08:24 AM,Review
C,5921,Op4,07/22/2025 11:50 PM,Scrap
A,2650,Op1,10/13/2025 03:19 PM,Review
B,5329,Op1,09/08/2025 05:32 AM,Review
D,4758,Op4,10/31/2025 02:32 PM,Scrap
B,8472,Op1,02/09/2025 10:09 PM,Good
A,5306,Op2,11/22/2025 09:06 AM,Scrap
B,8136,Op3,01/15/2026 11:47 AM,Review
B,7789,Op1,01/14/2026 10:38 PM,Review
A,7613,Op4,11/08/2025 01:50 AM,Scrap
D,6583,Op1,05/17/2025 09:53 AM,Review
C,3166,Op1,06/19/2025 03:11 AM,Scrap
A,3306,Op1,07/11/2025 10:16 PM,Good
A,5882,Op3,03/13/2025 06:26 AM,Good
C,6303,Op4,03/11/2025 11:05 PM,Review
A,8631,Op4,02/14/2025 03:06 PM,Scrap
C,7564,Op2,02/08/2025 12:57 PM,Good
C,5612,Op1,12/21/2025 10:05 AM,Scrap
D,7889,Op2,05/15/2025 12:12 AM,Review
D,5648,Op2,07/21/2025 02:53 PM,Review
B,5017,Op2,08/08/2025 02:14 AM,Scrap
C,1909,Op3,09/27/2025 03:26 AM,Scrap
C,5632,Op1,07/04/2025 09:53 AM,Scrap
A,8253,Op2,02/06/2025 03:17 AM,Scrap
B,7923,Op1,12/22/2025 03:48 PM,Review
B,7369,Op2,10/12/2025 09:02 PM,Good
D,8420,Op2,08/18/2025 11:34 AM,Review
D,9184,Op4,02/07/2025 11:51 PM,Good
B,3439,Op1,05/03/2025 04:02 PM,Review
A,6034,Op3,06/29/2025 05:55 PM,Good
B,2849,Op2,11/16/2025 09:03 PM,Review
B,8088,Op4,02/11/2025 06:55 PM,Review
A,5959,Op1,02/16/2025 04:05 PM,Review
C,1885,Op1,09/07/2025 02:54 PM,Good
A,1092,Op1,12/23/2025 06:09 AM,Review
D,3394,Op3,11/13/2025 11:48 PM,Good
D,5930,Op3,05/12/2025 01:00 PM,Review
C,7024,Op2,11/24/2025 03:47 AM,Review
A,1020,Op1,02/12/2025 11:36 AM,Good
D,2195,Op1,12/20/2025 12:42 AM,Review
B,2380,Op2,06/13/2025 09:28 AM,Scrap
D,9983,Op1,02/14/2025 09:33 PM,Scrap
C,6525,Op3,07/15/2025 04:38 PM,Scrap
C,5635,Op2,05/10/2025 05:07 PM,Scrap
C,4019,Op1,06/03/2025 02:12 AM,Good
D,6202,Op3,11/14/2025 03:30 PM,Review
D,6302,Op1,07/01/2025 05:08 PM,Review
D,2877,Op2,07/28/2025 06:23 PM,Review
D,8221,Op2,07/14/2025 01:48 AM,Scrap
B,3864,Op2,09/12/2025 11:33 PM,Scrap
D,3227,Op4,12/12/2025 09:21 PM,Scrap
D,7204,Op3,04/20/2025 11:30 PM,Scrap
A,3131,Op2,01/16/2025 06:19 PM,Scrap
A,1865,Op1,09/25/2025 08:48 PM,Good
B,7426,Op2,01/19/2025 06:27 AM,Scrap
A,1893,Op2,05/07/2025 08:19 PM,Scrap
B,1188,Op4,04/18/2025 10:39 AM,Scrap
A,1953,Op2,06/22/2025 05:22 PM,Good
C,8004,Op2,12/13/2025 10:32 PM,Scrap
A,5737,Op4,04/11/2025 12:58 PM,Good
B,1057,Op3,11/14/2025 04:44 PM,Good
C,9744,Op3,08/21/2025 02:14 AM,Good
B,4482,Op4,03/22/2025 02:00 AM,Review
A,5263,Op1,05/24/2025 09:23 AM,Scrap
D,7771,Op3,09/22/2025 03:23 AM,Scrap
A,8780,Op4,12/10/2025 04:23 AM,Good
D,9159,Op3,05/05/2025 09:34 PM,Scrap
B,4373,Op1,07/19/2025 01:46 AM,Scrap
D,9872,Op2,12/17/2025 02:15 PM,Good
D,7031,Op4,12/08/2025 05:18 PM,Review
A,6802,Op2,06/22/2025 03:25 AM,Good
B,2324,Op2,11/29/2025 08:45 AM,Good
D,7422,Op3,07/19/2025 08:38 PM,Scrap
A,8396,Op3,09/11/2025 04:27 AM,Scrap
B,9389,Op2,03/16/2025 12:58 PM,Review
D,6080,Op4,10/15/2025 02:40 PM,Good
B,9708,Op3,10/13/2025 08:00 AM,Review
D,4980,Op2,07/26/2025 03:15 PM,Good
B,9592,Op2,06/19/2025 09:00 PM,Scrap
B,7217,Op4,12/08/2025 11:40 AM,Review
C,8215,Op1,07/25/2025 11:35 AM,Scrap
D,9920,Op3,11/29/2025 08:30 AM,Review
B,5947,Op3,03/08/2025 07:19 AM,Good
B,5951,Op4,09/06/2025 07:32 AM,Scrap
B,3509,Op2,09/11/2025 03:11 AM,Scrap
D,3253,Op4,11/16/2025 03:46 PM,Scrap
B,9092,Op2,03/01/2025 07:54 AM,Review
D,8224,Op2,05/03/2025 10:21 AM,Scrap
B,2021,Op4,07/31/2025 01:18 PM,Scrap
D,1310,Op4,07/04/2025 06:11 PM,Review
C,8836,Op4,11/29/2025 11:22 AM,Scrap
A,9395,Op4,08/22/2025 06:03 AM,Good
D,3002,Op3,09/11/2025 02:29 AM,Review
A,4790,Op3,02/13/2025 09:38 PM,Good
B,8571,Op2,04/13/2025 10:36 PM,Good
D,2994,Op3,02/09/2025 11:41 PM,Good
D,2723,Op2,08/22/2025 04:58 PM,Good
C,2207,Op1,09/21/2025 10:11 PM,Review
A,4612,Op3,05/17/2025 11:19 PM,Review
C,4728,Op1,02/20/2025 07:20 AM,Good
C,7851,Op4,08/02/2025 01:50 AM,Review
C,3953,Op4,02/25/2025 01:04 AM,Review
B,7957,Op2,10/04/2025 11:22 AM,Review
A,6805,Op3,04/10/2025 04:09 AM,Review
D,3598,Op1,06/18/2025 10:10 PM,Review
D,1799,Op4,04/24/2025 01:38 AM,Scrap
A,2375,Op4,04/14/2025 01:15 AM,Review
D,2516,Op2,04/24/2025 04:51 PM,Review
C,1127,Op2,06/05/2025 10:13 AM,Review
B,3218,Op1,02/10/2025 11:54 AM,Good
A,7570,Op3,05/23/2025 04:33 PM,Scrap
C,9866,Op4,01/24/2025 12:15 AM,Review
D,1788,Op2,06/24/2025 08:09 PM,Review
D,6241,Op3,06/02/2025 12:19 PM,Review
C,6441,Op2,12/07/2025 05:19 AM,Scrap
B,3380,Op2,01/18/2025 06:29 PM,Scrap
D,9408,Op4,02/27/2025 04:39 PM,Scrap
D,2566,Op2,04/03/2025 03:55 AM,Scrap
A,6820,Op3,05/01/2025 11:23 AM,Review
D,9141,Op4,10/02/2025 06:33 PM,Good
B,4586,Op2,12/24/2025 04:23 AM,Review
D,2090,Op3,04/17/2025 04:50 PM,Good
D,7110,Op4,08/03/2025 11:12 PM,Good
A,3887,Op3,01/30/2025 12:20 AM,Scrap
C,6262,Op1,09/29/2025 12:08 AM,Review
A,3399,Op2,08/21/2025 02:27 PM,Review
B,3170,Op1,01/30/2025 05:38 PM,Review
C,9287,Op4,12/04/2025 05:20 PM,Scrap
A,9098,Op4,01/03/2026 11:29 PM,Review
A,4150,Op4,02/04/2025 08:27 AM,Good
A,7168,Op4,01/13/2026 07:15 PM,Review
A,7808,Op1,02/06/2025 10:07 AM,Good
B,9873,Op3,07/07/2025 01:42 PM,Good
A,9775,Op2,01/29/2025 09:21 AM,Scrap
D,3015,Op1,08/07/2025 11:29 AM,Good
D,7290,Op1,05/30/2025 09:33 AM,Review
B,3515,Op1,05/24/2025 02:16 PM,Scrap
C,7857,Op3,01/23/2025 06:28 AM,Review
C,1639,Op4,11/16/2025 01:55 PM,Good
B,6124,Op2,04/03/2025 01:07 PM,Review
C,6715,Op1,11/01/2025 03:25 AM,Review
C,9348,Op1,12/22/2025 11:20 AM,Good
C,7180,Op3,05/01/2025 08:26 AM,Good
D,3366,Op1,12/29/2025 08:59 PM,Scrap
A,1625,Op4,05/24/2025 11:46 AM,Good
D,6074,Op1,01/26/2025 07:23 PM,Good
A,8903,Op1,02/16/2025 11:53 AM,Scrap
D,9073,Op3,12/06/2025 01:48 AM,Good
C,4210,Op4,12/22/2025 09:55 PM,Review
A,9794,Op1,04/23/2025 09:47 AM,Good
C,5831,Op3,10/31/2025 05:24 PM,Good
B,2569,Op3,11/29/2025 01:26 PM,Good
D,2506,Op2,07/11/2025 01:21 PM,Good
C,8566,Op1,09/18/2025 09:02 PM,Review
D,2781,Op3,02/10/2025 09:37 AM,Scrap
A,4353,Op3,06/26/2025 05:03 AM,Scrap
C,1381,Op2,11/28/2025 11:46 PM,Good
A,7805,Op4,08/27/2025 05:43 PM,Review
C,6605,Op3,03/08/2025 01:39 AM,Scrap
C,3507,Op3,11/07/2025 08:50 AM,Scrap
A,9683,Op3,05/27/2025 01:50 AM,Scrap
D,5722,Op2,09/29/2025 02:22 AM,Review
B,3465,Op1,04/03/2025 02:45 AM,Scrap
B,3720,Op4,01/21/2025 01:28 PM,Review
D,7530,Op1,04/30/2025 05:36 PM,Scrap
C,8587,Op3,08/31/2025 12:13 AM,Good
D,6716,Op2,07/19/2025 06:52 PM,Good
B,6275,Op3,07/29/2025 03:54 AM,Good
C,5163,Op4,07/11/2025 12:53 AM,Review
A,2300,Op4,11/06/2025 01:55 AM,Scrap
A,6517,Op4,04/15/2025 07:55 AM,Review
A,1359,Op1,03/01/2025 01:24 PM,Review
A,6097,Op4,07/31/2025 12:40 AM,Review
A,8601,Op3,12/26/2025 06:31 PM,Scrap
B,7935,Op2,02/27/2025 01:22 AM,Review
B,9467,Op3,06/15/2025 08:06 AM,Good
B,8817,Op2,06/21/2025 12:19 AM,Good
C,4289,Op3,01/22/2025 12:50 PM,Review
D,6284,Op1,05/09/2025 11:42 AM,Review
C,7933,Op2,11/16/2025 09:41 AM,Scrap
A,6300,Op1,01/21/2025 04:26 AM,Scrap
C,9279,Op1,12/12/2025 05:32 PM,Scrap
D,2559,Op3,06/20/2025 11:51 PM,Scrap
D,2499,Op3,01/19/2025 01:57 PM,Scrap
A,9121,Op3,12/08/2025 05:44 AM,Good
B,8929,Op1,03/14/2025 11:21 PM,Scrap
C,3646,Op4,04/25/2025 02:44 PM,Review
D,5991,Op1,01/26/2025 10:24 AM,Review
B,4561,Op4,12/04/2025 03:34 PM,Scrap
C,8968,Op2,05/09/2025 06:25 AM,Good
C,2788,Op1,06/21/2025 09:20 PM,Review
A,7332,Op4,11/20/2025 08:46 AM,Review
B,9975,Op4,01/08/2026 03:58 PM,Good
C,5649,Op4,01/13/2026 11:11 AM,Review
B,1785,Op3,05/27/2025 06:41 AM,Review
A,6488,Op4,12/23/2025 06:23 PM,Review
A,9899,Op3,01/04/2026 08:38 PM,Scrap
A,8135,Op4,07/30/2025 03:35 AM,Scrap
C,4484,Op4,04/07/2025 09:38 AM,Scrap
A,1387,Op1,07/17/2025 12:11 PM,Scrap
C,4623,Op1,05/15/2025 11:19 AM,Scrap
B,5876,Op3,01/26/2025 10:59 AM,Scrap
D,1685,Op3,07/31/2025 08:03 AM,Good
C,5234,Op1,01/17/2025 10:52 AM,Scrap
C,8130,Op3,11/19/2025 07:53 PM,Review
B,1962,Op4,09/27/2025 11:12 AM,Scrap
C,1068,Op1,05/08/2025 12:49 PM,Review
A,1996,Op3,12/16/2025 09:27 PM,Good
D,9268,Op4,09/02/2025 04:29 AM,Review
B,6315,Op4,06/05/2025 09:47 AM,Scrap
D,1617,Op2,03/02/2025 08:17 AM,Scrap
C,7713,Op2,11/28/2025 07:21 PM,Good
B,4216,Op4,11/21/2025 11:15 AM,Review
D,3343,Op1,07/10/2025 12:33 AM,Good
B,1784,Op2,11/14/2025 09:58 PM,Scrap
A,6131,Op4,02/02/2025 02:18 PM,Good
B,5751,Op1,05/13/2025 09:38 PM,Scrap
D,4941,Op4,01/02/2026 03:26 AM,Scrap
B,7760,Op3,04/12/2025 08:30 AM,Scrap
B,2527,Op1,11/09/2025 04:17 PM,Review
A,2191,Op4,06/29/2025 12:24 AM,Good
B,8422,Op1,08/01/2025 11:10 PM,Good
B,8745,Op1,09/11/2025 04:40 AM,Good
D,6944,Op4,12/13/2025 02:34 PM,Good
C,6815,Op1,09/10/2025 02:33 PM,Scrap
C,6811,Op3,12/05/2025 08:05 AM,Scrap
A,4724,Op2,06/25/2025 03:36 PM,Scrap
D,6061,Op3,03/20/2025 09:34 AM,Review
B,2537,Op4,10/03/2025 02:20 AM,Review
A,7899,Op3,03/02/2025 04:54 AM,Scrap
B,5407,Op2,07/10/2025 07:49 AM,Review
A,5465,Op2,02/16/2025 02:23 AM,Scrap
D,3276,Op4,06/26/2025 07:21 AM,Good
A,1281,Op3,10/11/2025 06:16 PM,Scrap
D,1826,Op1,10/12/2025 02:27 AM,Good
C,2887,Op2,08/18/2025 10:13 PM,Review
D,2140,Op1,12/01/2025 01:44 PM,Scrap
D,8001,Op1,11/25/2025 08:00 PM,Good
D,3080,Op2,02/10/2025 07:52 PM,Scrap
B,3272,Op4,05/18/2025 05:38 PM,Scrap
B,2432,Op1,12/30/2025 08:38 AM,Review
B,9489,Op3,08/08/2025 03:29 AM,Good
C,9792,Op3,06/23/2025 04:59 AM,Review
A,6022,Op2,06/06/2025 03:18 AM,Scrap
D,4368,Op1,05/29/2025 11:11 PM,Review
B,3233,Op3,03/02/2025 04:20 PM,Scrap
D,4816,Op2,10/22/2025 07:02 AM,Review
C,6900,Op2,09/30/2025 10:45 PM,Good
A,3112,Op2,10/16/2025 06:10 AM,Review
B,6352,Op3,10/14/2025 04:37 PM,Scrap
B,9042,Op3,03/13/2025 07:02 PM,Scrap
B,7352,Op1,06/18/2025 01:05 PM,Scrap
D,7913,Op4,11/06/2025 04:35 PM,Review
C,7116,Op1,11/16/2025 12:56 PM,Review
